Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,4.01,4.01,4.01,4.01,000,4.01
2016-11-30,4.01,4.01,4.01,4.01,000,4.01
2016-11-29,4.01,4.01,4.01,4.01,000,4.01
2016-11-28,4.01,4.01,4.01,4.01,000,4.01
2016-11-25,4.01,4.01,4.01,4.01,000,4.01
2016-11-23,4.01,4.01,4.01,4.01,000,4.01
2016-11-22,4.01,4.01,4.01,4.01,000,4.01
2016-11-21,4.01,4.01,4.01,4.01,000,4.01
2016-11-18,4.01,4.01,4.01,4.01,000,4.01
2016-11-17,4.01,4.01,4.01,4.01,000,4.01
2016-11-16,4.01,4.01,4.01,4.01,000,4.01
2016-11-15,4.01,4.01,4.01,4.01,000,4.01
2016-11-14,4.01,4.01,4.01,4.01,000,4.01
2016-11-11,4.01,4.01,4.01,4.01,000,4.01
2016-11-10,4.01,4.01,4.01,4.01,000,4.01
2016-11-09,4.01,4.01,4.01,4.01,000,4.01
2016-11-08,4.01,4.01,4.01,4.01,000,4.01
2016-11-07,4.01,4.01,4.01,4.01,000,4.01
2016-11-04,4.00,4.21,4.00,4.01,4500,4.01
2016-11-03,4.35,4.35,4.00,4.30,2700,4.30
2016-11-02,4.37,4.40,4.15,4.15,4400,4.15
2016-11-01,4.23,4.40,4.23,4.40,2600,4.40
2016-10-31,4.47,4.50,4.47,4.50,500,4.50
2016-10-28,4.45,4.50,4.44,4.50,2000,4.50
2016-10-27,4.65,4.66,4.56,4.56,1500,4.56
2016-10-26,4.83,4.85,4.21,4.65,30500,4.65
2016-10-25,4.88,4.88,4.70,4.83,3300,4.83
2016-10-24,4.45,5.00,4.45,4.90,15400,4.90
2016-10-21,4.96,5.25,4.96,5.00,33400,5.00
2016-10-20,5.10,5.20,5.00,5.08,6500,5.08
2016-10-19,5.00,5.25,5.00,5.10,8000,5.10
2016-10-18,5.30,5.30,3.99,4.95,29600,4.95
2016-10-17,5.23,5.30,5.10,5.30,15200,5.30
2016-10-14,5.75,5.75,5.18,5.30,15700,5.30
2016-10-13,6.35,6.35,6.35,6.35,000,6.35
2016-10-12,7.00,7.00,6.35,6.35,7400,6.35
2016-10-11,7.05,7.10,6.74,7.10,8800,7.10
2016-10-10,7.60,7.60,6.69,7.20,4000,7.20
2016-10-07,8.00,8.00,8.00,8.00,100,8.00
2016-10-06,0.79,0.79,0.73,0.75,8300,7.50
2016-10-05,0.81,0.81,0.77,0.80,400,8.00
2016-10-04,0.80,0.81,0.79,0.80,4500,8.00
2016-10-03,0.76,0.79,0.75,0.79,3500,7.90
2016-09-30,0.72,0.78,0.72,0.77,9600,7.70
2016-09-29,0.77,0.78,0.76,0.78,2300,7.80
2016-09-28,0.78,0.78,0.76,0.77,5100,7.70
2016-09-27,0.80,0.82,0.75,0.79,10200,7.90
2016-09-26,0.80,0.84,0.78,0.78,3400,7.80
2016-09-23,0.85,0.85,0.78,0.83,9500,8.30
2016-09-22,0.79,0.81,0.76,0.80,18900,8.00
2016-09-21,0.75,0.78,0.71,0.77,7200,7.70
2016-09-20,0.76,0.77,0.74,0.75,4500,7.50
2016-09-19,0.73,0.76,0.72,0.76,6300,7.60
2016-09-16,0.70,0.73,0.69,0.70,6400,7.00
2016-09-15,0.71,0.74,0.69,0.74,700,7.40
2016-09-14,0.73,0.76,0.71,0.72,1700,7.20
2016-09-13,0.73,0.75,0.68,0.74,3000,7.40
2016-09-12,0.77,0.78,0.65,0.78,13000,7.80
2016-09-09,0.69,0.79,0.65,0.77,20400,7.70
2016-09-08,0.65,0.71,0.65,0.68,15600,6.80
2016-09-07,0.63,0.69,0.63,0.64,14700,6.40
2016-09-06,0.62,0.64,0.62,0.62,3600,6.20
2016-09-02,0.62,0.65,0.62,0.64,2000,6.40
2016-09-01,0.62,0.64,0.60,0.64,4700,6.40
2016-08-31,0.56,0.64,0.56,0.64,3100,6.40
2016-08-30,0.58,0.62,0.58,0.62,4000,6.20
2016-08-29,0.63,0.64,0.61,0.64,3300,6.40
2016-08-26,0.60,0.69,0.58,0.63,12400,6.30
2016-08-25,0.59,0.60,0.58,0.58,2100,5.80
2016-08-24,0.59,0.60,0.58,0.60,6300,6.00
2016-08-23,0.61,0.61,0.58,0.59,6200,5.90
2016-08-22,0.60,0.61,0.58,0.59,7000,5.90
2016-08-19,0.61,0.63,0.59,0.59,6300,5.90
2016-08-18,0.67,0.68,0.59,0.63,10900,6.30
2016-08-17,0.60,0.65,0.59,0.65,3400,6.50
2016-08-16,0.60,0.64,0.59,0.64,2900,6.40
2016-08-15,0.65,0.65,0.59,0.64,5900,6.40
2016-08-12,0.63,0.68,0.62,0.65,17500,6.50
2016-08-11,0.62,0.68,0.60,0.62,12500,6.20
2016-08-10,0.61,0.62,0.59,0.62,3000,6.20
2016-08-09,0.61,0.62,0.58,0.61,13100,6.10
2016-08-08,0.63,0.63,0.61,0.61,4800,6.10
2016-08-05,0.62,0.63,0.62,0.63,4200,6.30
2016-08-04,0.62,0.62,0.61,0.62,10000,6.20
2016-08-03,0.60,0.63,0.60,0.62,5700,6.20
2016-08-02,0.65,0.65,0.56,0.64,11500,6.40
2016-08-01,0.62,0.62,0.61,0.62,7400,6.20
2016-07-29,0.62,0.63,0.60,0.63,8600,6.30
2016-07-28,0.61,0.63,0.61,0.63,5200,6.30
2016-07-27,0.65,0.65,0.61,0.61,4500,6.10
2016-07-26,0.62,0.62,0.61,0.62,3800,6.20
2016-07-25,0.66,0.66,0.57,0.61,7900,6.10
2016-07-22,0.65,0.65,0.56,0.65,3300,6.50
2016-07-21,0.66,0.66,0.65,0.65,3000,6.50
2016-07-20,0.65,0.67,0.61,0.64,4400,6.40
2016-07-19,0.63,0.65,0.61,0.65,3500,6.50
