Date,Open,High,Low,Close,Volume,Adj Close
2016-11-16,1.28,1.28,1.25,1.25,17100,1.25
2016-11-15,1.22,1.30,1.22,1.28,29300,1.28
2016-11-14,1.25,1.28,1.22,1.26,16000,1.26
2016-11-11,1.25,1.37,1.25,1.26,28400,1.26
2016-11-10,1.30,1.36,1.26,1.28,40100,1.28
2016-11-09,1.31,1.38,1.27,1.27,43700,1.27
2016-11-08,1.36,1.36,1.25,1.32,51500,1.32
2016-11-07,1.37,1.38,1.24,1.25,15900,1.25
2016-11-04,1.35,1.40,1.20,1.25,60500,1.25
2016-11-03,1.40,1.40,1.36,1.36,2900,1.36
2016-11-02,1.40,1.40,1.35,1.39,35700,1.39
2016-11-01,1.41,1.49,1.35,1.40,62500,1.40
2016-10-31,1.44,1.44,1.35,1.42,36700,1.42
2016-10-28,1.52,1.53,1.39,1.47,62000,1.47
2016-10-27,1.62,1.62,1.35,1.50,100900,1.50
2016-10-26,1.65,1.65,1.62,1.63,1600,1.63
2016-10-25,1.69,1.69,1.65,1.65,11700,1.65
2016-10-24,1.69,1.69,1.65,1.66,17400,1.66
2016-10-21,1.69,1.69,1.69,1.69,200,1.69
2016-10-20,1.67,1.67,1.60,1.64,4000,1.64
2016-10-19,1.70,1.70,1.70,1.70,300,1.70
2016-10-18,1.74,1.74,1.68,1.69,1800,1.69
2016-10-17,1.70,1.73,1.70,1.73,1400,1.73
2016-10-14,1.75,1.75,1.74,1.74,1100,1.74
2016-10-13,1.76,1.77,1.76,1.77,600,1.77
2016-10-12,1.84,1.84,1.78,1.78,500,1.78
2016-10-11,1.79,1.79,1.76,1.78,12700,1.78
2016-10-10,1.81,1.87,1.81,1.87,900,1.87
2016-10-07,1.83,1.84,1.83,1.84,700,1.84
2016-10-06,1.83,1.83,1.83,1.83,000,1.83
2016-10-05,1.84,1.85,1.83,1.83,8400,1.83
2016-10-04,1.84,1.87,1.84,1.84,600,1.84
2016-10-03,1.86,1.89,1.83,1.89,3900,1.89
2016-09-30,1.89,1.90,1.89,1.89,3500,1.89
2016-09-29,1.89,1.89,1.89,1.89,1200,1.89
2016-09-28,1.90,1.90,1.87,1.87,1500,1.87
2016-09-27,1.87,1.92,1.85,1.90,4300,1.90
2016-09-26,1.88,1.90,1.85,1.87,9000,1.87
2016-09-23,1.92,1.92,1.92,1.92,000,1.92
2016-09-22,1.97,1.97,1.92,1.92,700,1.92
